state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,Basic,Bachelor,,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Medsize
Arizona,No,Extended,Bachelor,,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
Nevada,No,Premium,Bachelor,,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
California,No,Basic,Bachelor,,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,SUV,Medsize
Washington,No,Basic,Bachelor,,M,Rural,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Medsize
Oregon,Yes,Basic,College,,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Premium,Master,,M,Urban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,Not Working,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,College,,F,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,College,,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
California,No,Basic,College,,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize
California,No,Premium,Master,,M,Urban,Married,Corporate Auto,Corporate L1,Offer2,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Medsize
California,No,Basic,College,,M,Urban,Single,Corporate Auto,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize
